date,description,amount,type,balance,category
2026-03-23,UPI/BIGBASKET/UTIB/280256396509/Pay,723.79,debit,10073.83,groceries
2026-03-23,UPI/Shadmani Khato/UTIB/530679517993/NO REMARK,485.11,credit,10558.94,transfer
2026-03-24,UPI/MITALI NAG/CNRB/685649506480/UPI,427.48,debit,10131.46,transfer
2026-03-24,UPI/MAH Vashi Inor/PPIW/652272244169/UPI,404.60,debit,9726.86,travel
2026-03-24,UPI/MITALI NAG/YESB/976474195673/Paid securel,517.43,debit,9209.43,transfer
2026-03-25,UPI/Flipkart Inter/SVCB/811846035622/UPI,3855.92,debit,5353.51,shopping
2026-03-26,UPI/BLINKIT/KKBK/312370445436/Pay via Razo,618.80,debit,4734.71,groceries
2026-03-26,UPI/ARUNA HEMANT P/CNRB/296993516871/Paid securel,71.51,credit,4806.22,transfer
2026-03-26,UPI/SOURAV DHAR/SVCB/294837115326/Paid securel,196.21,debit,4610.01,transfer
2026-03-26,UPI/Apollo Pharmac/IBKL/813361367967/UPI,1098.77,debit,3511.24,health
2026-03-27,UPI/DECATHLON SPOR/IBKL/118968488499/UPI,3524.86,debit,-13.62,shopping
2026-03-27,UPI/Swiggy Ltd/UTIB/176744856618/Pay for Inte,640.66,debit,-654.28,food
2026-03-28,UPI/Smaaash Gaming/RATN/717607162275/UPI,770.85,debit,-1425.13,entertainment
2026-03-28,UPI/Myntra Designs/RATN/743688022283/UPI,3278.22,debit,-4703.35,shopping
2026-03-28,UPI/Myntra Designs/YESB/232391319982/UPI,2798.71,debit,-7502.06,shopping
2026-03-28,UPI/Krishna milk/RATN/490559986439/UPI,34.96,debit,-7537.02,food
2026-03-28,Recd:IMPS/581224987617/Amazon Sel/KKBK/X1894/PCXQJ,2784.57,credit,-4752.45,income
2026-03-28,UPI/Cafe Coffee Day/IBKL/841534276424/UPI,357.19,debit,-5109.64,food
2026-03-29,UPI/VASHI FUEL CEN/IBKL/113149058838/UPI,205.26,debit,-5314.90,travel
2026-03-29,UPI/Uber India Sys/KKBK/581305707735/UPI,64.75,debit,-5379.65,travel
2026-03-29,UPI/BookMyShow/IBKL/743573432676/UPI,255.16,debit,-5634.81,entertainment
2026-03-29,UPI/Ugaoo/KKBK/178390688627/Payment To U,649.24,debit,-6284.05,shopping
2026-03-29,Recd:IMPS/447311085209/Amazon Sel/KKBK/X4479/PCXQJ,1124.80,credit,-5159.25,income
2026-03-29,UPI/DMart Avenue/UTIB/152800016485/UPI,1310.09,debit,-6469.34,groceries
2026-03-29,UPI/MITALI NAG/CNRB/714843635116/Payment from,675.58,debit,-7144.92,transfer
2026-03-30,UPI/ARUNA HEMANT P/CNRB/481527648617/Payment from,128.40,debit,-7273.32,transfer
2026-03-30,UPI/Apollo Pharmac/YESB/787569280115/UPI,950.16,debit,-8223.48,health
2026-03-30,UPI/Avaneesh Sachi/SBIN/888726906522/Paid securel,14.42,credit,-8209.06,transfer
2026-03-30,UPI/Avaneesh Sachi/IBKL/457348683112/UPI,131.55,credit,-8077.51,transfer
2026-03-30,UPI/New Daimond 2/SVCB/706208516453/UPI,123.64,debit,-8201.15,food
2026-04-01,UPI/NMMTTurbe C413/PPIW/742795434833/UPI,26.30,debit,-8227.45,travel
2026-04-01,UPI/Airtel Postpai/UTIB/339196113983/UPI,772.00,debit,-8999.45,bills
2026-04-01,UPI/Royal Bakery/SVCB/591751436753/UPI,86.73,debit,-9086.18,food
2026-04-02,UPI/Godaddy/CNRB/665244057280/Pay,478.66,debit,-9564.84,bills
2026-04-02,UPI/Patil Vadapav/UBIN/921176020689/UPI,23.77,debit,-9588.61,food
2026-04-02,UPI/Patil Vadapav/SVCB/627348858610/UPI,62.92,debit,-9651.53,food
2026-04-02,PCI/8686/NETFLIX.COM/+716938548236/23:14,565.59,debit,-10217.12,bills
2026-04-03,UPI/Amey Nagesh/IBKL/378270067224/NO REMARK,19.50,credit,-10197.62,transfer
2026-04-03,UPI/Godaddy/UBIN/452869219287/Pay,1106.78,debit,-11304.40,bills
2026-04-03,UPI/Avaneesh Sachi/UTIB/310115059034/Paid securel,75.21,debit,-11379.61,transfer
2026-04-03,UPI/New Daimond 2/HDFC/570408078620/UPI,30.44,debit,-11410.05,food
2026-04-03,UPI/Amazon Pay/HDFC/926831853333/Request from,2491.54,debit,-13901.59,shopping
2026-04-04,UPI/Jio Recharge/KKBK/642139918049/UPI,222.87,debit,-14124.46,bills
2026-04-04,UPI/DMart Avenue/HDFC/698106576737/UPI,464.60,debit,-14589.06,groceries
2026-04-04,PCI/2027/ANTHROPIC* CLAUDE SUB/+364998345048/07:00,2353.00,debit,-16942.06,bills
2026-04-05,UPI/Amazon Pay Gro/PPIW/833138213189/You are payi,209.70,debit,-17151.76,groceries
2026-04-05,UPI/Flipkart Inter/CNRB/821949393311/UPI,2724.75,debit,-19876.51,shopping
2026-04-05,UPI/ACT Fibernet/UTIB/459179233845/UPI,948.93,debit,-20825.44,bills
2026-04-05,UPI/BLINKIT/CNRB/546882142162/Pay via Razo,1294.80,debit,-22120.24,groceries
2026-04-06,UPI/Amazon Pay/HDFC/717278187008/Request from,2237.88,debit,-24358.12,shopping
2026-04-07,UPI/LONDHE VINOD S/PPIW/144760853609/Payment from,62.86,debit,-24420.98,transfer
2026-04-07,UPI/Cafe Coffee Day/RATN/441823484793/UPI,294.98,debit,-24715.96,food
2026-04-08,UPI/Flipkart Inter/HDFC/817734182704/UPI,4493.65,debit,-29209.61,shopping
2026-04-10,UPI/Altaf Yamin Sh/YESB/172400564853/Payment from,230.55,debit,-29440.16,transfer
2026-04-10,UPI/Solanki Genera/SVCB/282966119326/UPI,287.94,debit,-29728.10,groceries
2026-04-11,UPI/Patil Vadapav/SVCB/463682566893/UPI,56.55,debit,-29784.65,food
2026-04-11,UPI/PVR Cinemas/KKBK/369016176599/UPI,550.43,debit,-30335.08,entertainment
2026-04-11,UPI/Zomato Ltd/UBIN/431535100396/Pay via Razo,634.29,debit,-30969.37,food
2026-04-12,UPI/PRADEEP PAN SH/UTIB/300418720320/Payment from,957.88,debit,-31927.25,transfer
2026-04-12,UPI/Dr Lal PathLab/YESB/568791743601/UPI,1593.79,debit,-33521.04,health
2026-04-13,UPI/Indian Railway/HDFC/434701330465/UPI,301.24,debit,-33822.28,travel
2026-04-13,UPI/Impression sal/SVCB/604650482995/UPI,434.77,debit,-34257.05,shopping
2026-04-13,UPI/Ugaoo/HDFC/235033673620/Payment To U,558.14,debit,-34815.19,shopping
2026-04-13,UPI/Godaddy/IDFB/970137010952/Pay,1019.36,debit,-35834.55,bills
2026-04-13,UPI/DARNE SOHAM SU/YESB/837737621960/UPI,24.32,debit,-35858.87,transfer
2026-04-14,UPI/ROLLING CUE/UBIN/324091284261/UPI,75.63,debit,-35934.50,entertainment
2026-04-14,NEFT/SALARY CREDIT/472767940298,34898.39,credit,-1036.11,income
2026-04-15,UPI/PharmEasy/SVCB/564643924601/UPI,1627.22,debit,-2663.33,health
2026-04-15,UPI/AMRIT NAG/SVCB/368731764652/Paid securel,48.62,credit,-2614.71,transfer
2026-04-15,UPI/Amazon Pay/SBIN/448586407862/Request from,2080.04,debit,-4694.75,shopping
2026-04-15,UPI/Sharafat Ali/IDFB/430388670596/Payment from,126.78,debit,-4821.53,transfer
2026-04-15,UPI/HP PETROL PUMP/IBKL/549205280602/UPI,607.31,debit,-5428.84,travel
2026-04-15,UPI/Krishna milk/IBKL/314050551906/UPI,22.39,debit,-5451.23,food
2026-04-16,UPI/SHIVAM SUPER M/HDFC/101872852652/UPI,328.43,debit,-5779.66,groceries
2026-04-16,UPI/Impression sal/RATN/430020146023/UPI,198.69,debit,-5978.35,shopping
2026-04-16,UPI/Amazon Pay Gro/SVCB/940833239380/You are payi,651.05,debit,-6629.40,groceries
2026-04-16,UPI/Dr Lal PathLab/RATN/432775127450/UPI,553.36,debit,-7182.76,health
2026-04-17,UPI/NIRAJ KUMAR/RATN/226277938583/Paid securel,683.95,debit,-7866.71,transfer
2026-04-17,UPI/IRCTC Rail Con/IDFB/252194191717/UPI,328.93,debit,-8195.64,travel
2026-04-18,UPI/Patil Vadapav/CNRB/139576827340/UPI,25.16,debit,-8220.80,food
2026-04-18,UPI/Smaaash Gaming/IBKL/729784376806/UPI,1061.55,debit,-9282.35,entertainment
2026-04-18,UPI/ARPITA NAG/SVCB/589222022249/Paid securel,18.29,credit,-9264.06,transfer
2026-04-18,UPI/Amey Nagesh/CNRB/231172789812/Paid securel,13.06,credit,-9251.00,transfer
2026-04-18,UPI/Amey Nagesh/UTIB/402226486657/UPI,2762.72,credit,-6488.28,transfer
2026-04-19,UPI/MSEB Electrici/PPIW/354146923862/UPI,679.16,debit,-7167.44,bills
2026-04-19,UPI/Airtel Postpai/IBKL/988346983814/UPI,797.25,debit,-7964.69,bills
2026-04-20,UPI/MSEB Electrici/YESB/720785469976/UPI,854.81,debit,-8819.50,bills
2026-04-20,UPI/BIGBASKET/IBKL/884747005824/Pay,1459.23,debit,-10278.73,groceries
2026-04-20,UPI/Flipkart Inter/IBKL/716965765671/UPI,4656.38,debit,-14935.11,shopping
2026-04-20,UPI/V SUDALAI KONA/KKBK/989419019960/Paid securel,2383.68,credit,-12551.43,transfer
2026-04-21,UPI/Godaddy/YESB/775203015452/Pay,637.98,debit,-13189.41,bills
2026-04-21,UPI/Altaf Yamin Sh/YESB/115677061259/NO REMARK,264.63,credit,-12924.78,transfer
2026-04-21,UPI/NMMTTurbe C413/SBIN/267264928675/UPI,23.13,debit,-12947.91,travel
2026-04-21,UPI/BookMyShow/CNRB/515177777337/UPI,251.27,debit,-13199.18,entertainment
2026-04-22,UPI/PRADEEP PAN SH/HDFC/434126498906/Payment from,13.91,credit,-13185.27,transfer
2026-04-22,UPI/Shadmani Khato/IBKL/265665302312/NO REMARK,542.92,credit,-12642.35,transfer
2026-04-23,UPI/UPENDRA SINGH/UBIN/244979956322/Payment from,28.12,credit,-12614.23,transfer
2026-04-23,UPI/Indian Railway/UBIN/234819230071/UPI,140.62,debit,-12754.85,travel
2026-04-23,UPI/MSEB Electrici/UTIB/255421713139/UPI,2094.83,debit,-14849.68,bills
2026-04-23,UPI/SHIVAM SUPER M/UTIB/925874836044/UPI,581.13,debit,-15430.81,groceries
2026-04-24,UPI/MAH Vashi Inor/UTIB/444268064093/UPI,338.88,debit,-15769.69,travel
2026-04-24,UPI/Indian Railway/PPIW/973328504988/UPI,121.71,debit,-15891.40,travel
2026-04-24,UPI/Dr Lal PathLab/CNRB/628574938484/UPI,1058.43,debit,-16949.83,health
2026-04-25,UPI/ROLLING CUE/SVCB/192158509319/UPI,183.39,debit,-17133.22,entertainment
2026-04-25,UPI/IRCTC Rail Con/UTIB/162334825970/UPI,1688.20,debit,-18821.42,travel
2026-04-25,UPI/Myntra Designs/SBIN/147033610769/UPI,1291.32,debit,-20112.74,shopping
2026-04-25,UPI/RELIANCE TREND/SBIN/784831841330/UPI,1209.88,debit,-21322.62,shopping
2026-04-25,UPI/DMart Avenue/CNRB/286428844139/UPI,1071.03,debit,-22393.65,groceries
2026-04-26,UPI/SHIVAM YADAV/SBIN/835071714983/Payment from,52.08,credit,-22341.57,transfer
2026-04-26,UPI/2 Wheeler nigh/SVCB/415499288473/UPI,158.46,debit,-22500.03,travel
2026-04-26,UPI/Mitesh Mahendr/SVCB/198413359701/Paid securel,63.86,credit,-22436.17,transfer
2026-04-27,UPI/Zepto/PPIW/531584687817/UPI,119.87,debit,-22556.04,groceries
2026-04-27,UPI/Dr Lal PathLab/PPIW/482584208573/UPI,1949.83,debit,-24505.87,health
2026-04-27,UPI/IRCTC Rail Con/SVCB/292407154495/UPI,1969.37,debit,-26475.24,travel
2026-04-27,UPI/Apollo Pharmac/HDFC/934448921653/UPI,620.70,debit,-27095.94,health
2026-04-28,UPI/Patil Vadapav/RATN/498823314283/UPI,77.97,debit,-27173.91,food
2026-04-28,UPI/VASHI FUEL CEN/KKBK/814696285072/UPI,191.63,debit,-27365.54,travel
2026-04-29,UPI/YAM LAL CHAPAG/UTIB/626068907501/NO REMARK,992.16,debit,-28357.70,transfer
2026-04-30,UPI/DMart Avenue/HDFC/197215815473/UPI,2595.80,debit,-30953.50,groceries
2026-05-02,UPI/Krishna milk/SVCB/828613104068/UPI,41.97,debit,-30995.47,food
2026-05-02,UPI/NMMTGhansoli C/CNRB/395989503898/UPI,22.43,debit,-31017.90,travel
2026-05-02,UPI/SHIVAM SUPER M/UBIN/723970258506/UPI,182.57,debit,-31200.47,groceries
2026-05-02,UPI/Altaf Yamin Sh/UBIN/769756115208/Payment from,52.76,credit,-31147.71,transfer
2026-05-02,UPI/Uber India Sys/HDFC/675519075861/UPI,133.04,debit,-31280.75,travel
2026-05-03,UPI/Spotify India/IDFB/248467405992/UPI,120.00,debit,-31400.75,bills
2026-05-03,UPI/Avaneesh Sachi/CNRB/932547133607/UPI,2794.59,debit,-34195.34,transfer
2026-05-03,UPI/ACT Fibernet/IDFB/238431195975/UPI,933.84,debit,-35129.18,bills
2026-05-03,PCI/8208/ANTHROPIC* CLAUDE SUB/+167249387929/16:24,2353.00,debit,-37482.18,bills
2026-05-03,UPI/Jio Recharge/HDFC/321943912372/UPI,630.41,debit,-38112.59,bills
2026-05-03,UPI/NMMTTurbe C413/CNRB/526253754587/UPI,13.82,debit,-38126.41,travel
2026-05-03,UPI/DECATHLON SPOR/YESB/750522324867/UPI,2492.32,debit,-40618.73,shopping
2026-05-04,PCI/8669/NETFLIX.COM/+426400930481/17:41,255.32,debit,-40874.05,bills
2026-05-05,UPI/ARUNA HEMANT P/IDFB/756384864470/Payment from,261.30,credit,-40612.75,transfer
2026-05-05,UPI/LONDHE VINOD S/SVCB/386271672754/Paid securel,78.17,credit,-40534.58,transfer
2026-05-05,UPI/DARNE SOHAM SU/IDFB/102103779637/NO REMARK,2791.39,debit,-43325.97,transfer
2026-05-05,UPI/MAH Vashi Inor/SBIN/504410779123/UPI,241.17,debit,-43567.14,travel
2026-05-05,UPI/BLINKIT/YESB/872889239318/Pay via Razo,1346.50,debit,-44913.64,groceries
2026-05-05,UPI/Myntra Designs/CNRB/329303607855/UPI,1496.83,debit,-46410.47,shopping
2026-05-06,UPI/HP PETROL PUMP/IBKL/188031825980/UPI,499.46,debit,-46909.93,travel
2026-05-06,UPI/Ganga Sagar Fa/UTIB/996829845489/UPI,80.04,debit,-46989.97,food
2026-05-07,UPI/Dr Lal PathLab/KKBK/508349312597/UPI,1536.96,debit,-48526.93,health
2026-05-07,UPI/MSEB Electrici/IBKL/882865496150/UPI,541.35,debit,-49068.28,bills
2026-05-07,UPI/Amey Nagesh/IBKL/672585519562/Paid securel,254.26,credit,-48814.02,transfer
2026-05-08,UPI/ARPITA NAG/UTIB/376217562674/Payment from,55.95,debit,-48869.97,transfer
2026-05-08,UPI/Impression sal/CNRB/787687028197/UPI,595.33,debit,-49465.30,shopping
2026-05-08,UPI/RAJESH KUMAR J/SVCB/892681633116/Paid securel,125.82,debit,-49591.12,transfer
2026-05-08,UPI/Airtel Postpai/SVCB/600869121085/UPI,432.52,debit,-50023.64,bills
2026-05-08,UPI/UPENDRA SINGH/PPIW/898359655252/NO REMARK,22.12,credit,-50001.52,transfer
2026-05-09,UPI/Zomato Ltd/HDFC/191818678533/Pay via Razo,158.16,debit,-50159.68,food
2026-05-09,UPI/Starbucks India/RATN/829282831635/UPI,545.48,debit,-50705.16,food
2026-05-10,UPI/Godaddy/YESB/359434735695/Pay,341.55,debit,-51046.71,bills
2026-05-10,UPI/BookMyShow/UBIN/501023168250/UPI,274.67,debit,-51321.38,entertainment
2026-05-10,UPI/Myntra Designs/IBKL/430063147654/UPI,2901.85,debit,-54223.23,shopping
2026-05-11,UPI/Royal Bakery/IBKL/125092269731/UPI,101.69,debit,-54324.92,food
2026-05-11,UPI/Krishna milk/IBKL/456248545806/UPI,64.42,debit,-54389.34,food
2026-05-13,UPI/DARNE SOHAM SU/UTIB/825255436158/Paid securel,225.06,credit,-54164.28,transfer
2026-05-13,UPI/NMMTTurbe C413/UBIN/135087368654/UPI,15.33,debit,-54179.61,travel
2026-05-13,UPI/VASHI FUEL CEN/CNRB/975743920766/UPI,329.69,debit,-54509.30,travel
2026-05-13,UPI/RAJESH KUMAR J/IDFB/386420928673/Payment from,1060.84,credit,-53448.46,transfer
2026-05-14,UPI/DARNE SOHAM SU/CNRB/657284321005/Payment from,563.67,debit,-54012.13,transfer
2026-05-14,UPI/VASHI FUEL CEN/SVCB/860578737335/UPI,347.87,debit,-54360.00,travel
2026-05-14,UPI/Krishna milk/UBIN/398003862677/UPI,23.81,debit,-54383.81,food
2026-05-14,UPI/BLINKIT/CNRB/108513612330/Pay via Razo,419.91,debit,-54803.72,groceries
2026-05-15,UPI/Indian Railway/CNRB/496925316376/UPI,192.54,debit,-54996.26,travel
2026-05-16,UPI/ROLLING CUE/YESB/848724392165/UPI,174.77,debit,-55171.03,entertainment
2026-05-16,UPI/BookMyShow/SVCB/707529041100/UPI,816.99,debit,-55988.02,entertainment
2026-05-16,UPI/Cafe Coffee Day/RATN/542251978283/UPI,117.79,debit,-56105.81,food
2026-05-16,UPI/BookMyShow/HDFC/132334652739/UPI,413.12,debit,-56518.93,entertainment
2026-05-16,UPI/NIRAJ KUMAR/IDFB/672823111668/Payment from,98.88,credit,-56420.05,transfer
2026-05-16,UPI/Godaddy/KKBK/290324787359/Pay,956.17,debit,-57376.22,bills
2026-05-17,UPI/Rapido Bike/YESB/851659337975/UPI,142.14,debit,-57518.36,travel
2026-05-17,UPI/Swiggy Ltd/HDFC/434627804453/Pay for Inte,207.47,debit,-57725.83,food
2026-05-17,UPI/Smaaash Gaming/HDFC/315623415127/UPI,1409.88,debit,-59135.71,entertainment
2026-05-17,UPI/amazon pay gro/CNRB/459299493189/You are payi,594.87,debit,-59730.58,groceries
2026-05-18,UPI/Uber India Sys/PPIW/786195448986/UPI,545.54,debit,-60276.12,travel
2026-05-18,UPI/VASHI FUEL CEN/UTIB/492408717591/UPI,1028.21,debit,-61304.33,travel
2026-05-18,UPI/Rapido Bike/IBKL/887246648614/UPI,27.91,debit,-61332.24,travel
2026-05-19,UPI/BIGBASKET/SVCB/762827539144/Pay,1244.36,debit,-62576.60,groceries
2026-05-19,UPI/Uber India Sys/UTIB/618164206945/UPI,174.63,debit,-62751.23,travel
2026-05-19,Recd:IMPS/397195829426/Amazon Sel/KKBK/X9927/PCXQJ,3472.03,credit,-59279.20,income
2026-05-20,UPI/Zepto/UTIB/782616232420/UPI,793.40,debit,-60072.60,groceries
2026-05-21,UPI/Ugaoo/PPIW/404736757662/Payment To U,800.92,debit,-60873.52,shopping
2026-05-22,UPI/Altaf Yamin Sh/PPIW/468964574608/Payment from,1994.15,credit,-58879.37,transfer
2026-05-22,UPI/Royal Bakery/UTIB/784037499615/UPI,30.93,debit,-58910.30,food
2026-05-22,CHRG:SMS ALERT FEE FOR THE MONTH,7.95,debit,-58918.25,bills
2026-05-22,UPI/MAH Vashi Inor/YESB/143094529752/UPI,305.35,debit,-59223.60,travel
2026-05-23,UPI/Dr Lal PathLab/SBIN/873787604720/UPI,1033.59,debit,-60257.19,health
2026-05-23,UPI/RELIANCE TREND/UTIB/376579012916/UPI,2484.14,debit,-62741.33,shopping
2026-05-23,UPI/Swiggy Ltd/YESB/292644280884/Pay for Inte,180.17,debit,-62921.50,food
2026-05-23,UPI/DMart Avenue/UTIB/965478041364/UPI,3079.04,debit,-66000.54,groceries
2026-05-24,UPI/BIGBASKET/SVCB/336309382048/Pay,295.39,debit,-66295.93,groceries
2026-05-24,UPI/Airtel Postpai/SVCB/923237678132/UPI,505.42,debit,-66801.35,bills
2026-05-24,UPI/NIRAJ KUMAR/PPIW/785177045088/UPI,1702.03,debit,-68503.38,transfer
2026-05-25,UPI/AMRIT NAG/RATN/558710446874/Payment from,145.39,credit,-68357.99,transfer
2026-05-26,UPI/Avaneesh Sachi/IBKL/809462209305/Paid securel,1620.70,credit,-66737.29,transfer
2026-05-26,UPI/ROLLING CUE/IDFB/527213548045/UPI,283.73,debit,-67021.02,entertainment
2026-05-26,UPI/BIGBASKET/RATN/268243971715/Pay,1843.77,debit,-68864.79,groceries
2026-05-27,UPI/MITALI NAG/KKBK/258816758382/Payment from,12.13,debit,-68876.92,transfer
2026-05-28,UPI/Amey Nagesh/UBIN/885552150665/Payment from,13.47,debit,-68890.39,transfer
2026-05-29,UPI/BLINKIT/IDFB/893372945676/Pay via Razo,309.22,debit,-69199.61,groceries
2026-05-30,UPI/PRADEEP PAN SH/UBIN/105505850556/Payment from,25.60,debit,-69225.21,transfer
2026-05-30,UPI/Zomato Ltd/PPIW/920699409604/Pay via Razo,613.31,debit,-69838.52,food
2026-05-30,UPI/Cafe Coffee Day/IBKL/105565162310/UPI,227.38,debit,-70065.90,food
2026-05-30,UPI/BookMyShow/IBKL/474729410044/UPI,342.85,debit,-70408.75,entertainment
2026-05-31,UPI/NMMTTurbe C413/PPIW/859240433533/UPI,18.57,debit,-70427.32,travel
